property_type,property_address,property_price,property_extras,property_image,property_details_link,last_updated_at_UTC
"1 bed flat, Newcastle Upon Tyne","Westmorland Road, Newcastle Upon Tyne, Newcastle, NE1 4EG",From £127 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/https://alto-live.s3.amazonaws.com/4d5fcTSkJ6bJCY3ezfjkYeuMjNo/duFNKxKN7JG24hGWqppoA5Lt7Yc/Photo/[3]/gQm3u5_ySkSONvkY9iPnpg.jpg",https://www.accommodationforstudents.com/property/AGT22834_31032935,23-Oct-2021 19:59:17
"1 bed studio, Newcastle Upon Tyne","The Bruce Building, Newcastle Upon Tyne, Newcastle, NE1 7RP",From £136 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/https://alto-live.s3.amazonaws.com/4d5fcTSkJ6bJCY3ezfjkYeuMjNo/duFNKxKN7JG24hGWqppoA5Lt7Yc/Photo/[3]/fr3zZTjEL0ikZZCkjXVSRw.jpg",https://www.accommodationforstudents.com/property/AGT22834_31035041,23-Oct-2021 19:59:17
"1 bed house, Canterbury","Regency Place, Canterbury, Canterbury, CT1 1YS",From £109 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/http://images.portalimages.com/24929/31022314/image/s2/637705970704834537/061d2a7c7bea3099f71e1efdabdd01139fa45250.jpg",https://www.accommodationforstudents.com/property/AGT24929_31022314,23-Oct-2021 19:59:17
"6 bed house, Near University","Kedleston Road (INCLUDES BILLS), Near university, Derby, DE221FR",From £96 pw,Bills included,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/https://afs-legacy-property-images-prod.s3.eu-west-2.amazonaws.com/105492_Main.jpg",https://www.accommodationforstudents.com/property/105492,23-Oct-2021 19:59:17
"1 bed house, Salford","Salford, Salford, Salford, M6 7EW",From £103 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/https://estateagentfeeds.com/properties/media/xl/da796dcc49ab9fc5ac26db17e02a9e33_0.jpg",https://www.accommodationforstudents.com/property/AGT34663_524,23-Oct-2021 19:59:17
"1 bed studio, Nottingham","Peel Street, Nottingham, Nottingham, NG1 4GR",From £263 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/https://s3-eu-west-1.amazonaws.com/studentcribs/cribs/133flat-apark-view-peel-street_7f6c9dc0.jpg",https://www.accommodationforstudents.com/property/AGT49521_133_EAF_22752,23-Oct-2021 19:59:17
"1 bed studio, Nottingham","Peel Street, Nottingham, Nottingham, NG1 4GR",From £236 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/https://s3-eu-west-1.amazonaws.com/studentcribs/cribs/146flat-l-park-view-peel-street_059def45.jpg",https://www.accommodationforstudents.com/property/AGT49521_146_EAF_22763,23-Oct-2021 19:59:17
"1 bed studio, Nottingham","Peel Street, Nottingham, Nottingham, NG1 4GR",From £270 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/https://s3-eu-west-1.amazonaws.com/studentcribs/cribs/147flat-opark-view-peel-street_8c245831.jpg",https://www.accommodationforstudents.com/property/AGT49521_147_EAF_22764,23-Oct-2021 19:59:17
"1 bed studio, Nottingham","Peel Street, Nottingham, Nottingham, NG1 4GR",From £270 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/https://s3-eu-west-1.amazonaws.com/studentcribs/cribs/148flat-p-park-view-peel-street_20f7cd86.jpg",https://www.accommodationforstudents.com/property/AGT49521_148_EAF_52873,23-Oct-2021 19:59:17
"1 bed studio, Nottingham","Peel Street, Nottingham, Nottingham, NG1 4GR",From £270 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/https://s3-eu-west-1.amazonaws.com/studentcribs/cribs/149flat-q-park-view-peel-street_afff9420.jpg",https://www.accommodationforstudents.com/property/AGT49521_149_EAF_47992,23-Oct-2021 19:59:17
