property_type,property_address,property_price,property_extras,property_image,property_details_link,last_updated_at_UTC
"1 bed studio, City Centre","104 Mary Street, City centre, Sheffield, S14RU",From £135 pw,Bills included,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/https://afs-property-images-prod.s3.eu-west-2.amazonaws.com/protected/eu-west-2%3A1fe6a564-fb4f-4e5f-9094-f6558fd0f4be/0-1604923318116.jpg",https://www.accommodationforstudents.com/property/177524,08-Dec-2021 18:58:08
"1 bed studio, Near University","Milnbank Road, Near university, Dundee, DD15QF",From £69 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/https://afs-property-images-prod.s3.eu-west-2.amazonaws.com/protected/eu-west-2%3Ad26363e8-88b6-4015-9c1b-45ab3d619a4e/0-1635412254084.jpg",https://www.accommodationforstudents.com/property/177031,08-Dec-2021 18:58:08
"1 bed flat, Central","Hyde Park Road, Central, Plymouth, PL34RJ",From £240 pw,Bills included,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/https://afs-legacy-property-images-prod.s3.eu-west-2.amazonaws.com/104177_Main.jpg",https://www.accommodationforstudents.com/property/104177,08-Dec-2021 18:58:08
"1 bed studio, Central","22 Constantine Street, Central, Plymouth, PL48AF",From £135 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/https://afs-legacy-property-images-prod.s3.eu-west-2.amazonaws.com/189875_Main.jpg",https://www.accommodationforstudents.com/property/189875,08-Dec-2021 18:58:08
"1 bed studio, Mutley Plain","Cheltenham Place, Mutley plain, Plymouth, PL47DZ",From £200 pw,Bills included,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/https://afs-legacy-property-images-prod.s3.eu-west-2.amazonaws.com/187699_Main.jpg",https://www.accommodationforstudents.com/property/187699,08-Dec-2021 18:58:08
"1 bed house, Mutley","Ermington Terrace, Mutley, Plymouth, PL46GQ",From £200 pw,Bills included,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/https://afs-legacy-property-images-prod.s3.eu-west-2.amazonaws.com/191081_Main.jpg",https://www.accommodationforstudents.com/property/191081,08-Dec-2021 18:58:08
"1 bed house, Mutley","Cheltenham Place, Mutley, Plymouth, PL47DZ",From £200 pw,Bills included,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/https://afs-legacy-property-images-prod.s3.eu-west-2.amazonaws.com/188659_Main.jpg",https://www.accommodationforstudents.com/property/188659,08-Dec-2021 18:58:08
"1 bed flat, Central","The Crescent, Central, Plymouth, PL13AB",From £200 pw,Bills included,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/https://afs-legacy-property-images-prod.s3.eu-west-2.amazonaws.com/189795_Main.jpg",https://www.accommodationforstudents.com/property/189795,08-Dec-2021 18:58:08
"1 bed flat, Rusholme","Platt Lane, Rusholme, Manchester, M147PY",From £175 pw,Bills included,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/https://afs-property-images-prod.s3.eu-west-2.amazonaws.com/protected/eu-west-2%3A27039e50-dd6b-47e4-a5b4-6598cec8de35/1-1635430942384.jpg",https://www.accommodationforstudents.com/property/252880,08-Dec-2021 18:58:08
"5 bed house, Teeside University","Jedburgh Street, Teeside University, Middlesbrough, TS12HX",From £95 pw,Bills included,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/https://afs-property-images-prod.s3.eu-west-2.amazonaws.com/protected/eu-west-2%3Aa0c3792c-56a1-44f3-a5d9-49a3ea7fa0f7/0-1638977487997.jpg",https://www.accommodationforstudents.com/property/252109,08-Dec-2021 18:58:08
